Type,WHOPPER® SANDWICHES,Calories,Calories from Fat,"Total Fat
(g)","Saturated Fat
(g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium
(mg)","Total Carbs
(g)","Fiber
(g)","Sugar
(g)","Protein
(g)"
Burger,Whopper® Sandwich,660,360,40,12,1.5,90,980,49,2,11,28
Burger,Bacon & Cheese Whopper® Sandwich,790,460,51,17,2,125,1560,50,2,11,35
Burger,Double Whopper® Sandwich,900,520,58,20,3,175,1050,49,2,11,48
Burger,Triple Whopper® Sandwich,1130,680,75,28,4,255,1120,49,2,11,67
Burger,Whopper JR.® Sandwich,310,160,18,5,0.5,40,390,27,1,7,13
Burger,Bacon King Sandwich,1150,710,79,31,3.5,240,2150,49,2,10,61
Burger,Cheddar Bacon King Sandwich,1190,750,84,33,3.5,235,1930,50,2,11,64
Burger,Single Quarter Pound King Sandwich,580,260,29,13,1.5,105,1310,49,2,10,32
Burger,Double Quarter Pound King Sandwich,900,480,54,25,3,210,1740,50,2,11,56
Burger,Single Stacker King,700,380,42,16,2,125,1360,48,1,10,35
Burger,Double Stacker King,1050,610,68,28,3.5,235,1870,49,1,11,61
Burger,IMPOSSIBLE Whopper® Sandwich,630,310,34,11,0,10,1080,58,4,12,25
Burger,Hamburger,240,90,10,3.5,0.5,35,380,26,1,6,13
Burger,Cheeseburger,280,120,13,6,0.5,45,560,27,1,7,15
Burger,Double Hamburger,350,160,18,7,1,70,410,26,1,6,21
Burger,Double Cheeseburger,390,190,21,9,1.5,85,590,27,1,7,23
Burger,Extra Long Cheeseburger,630,330,37,14,1.5,100,1050,45,2,9,29
Burger,Bacon Cheeseburger,320,140,16,7,0.5,55,710,27,1,7,17
Burger,Bacon Double Cheeseburger,420,210,24,10,1.5,90,740,27,1,7,25
Burger,Crispy Chicken Sandwich,670,370,41,7,0,60,1080,54,2,8,23
Burger,Spicy Crispy Chicken Sandwich,700,370,42,7,0,65,1140,57,3,8,25
Burger,Original Chicken Sandwich,660,360,40,7,0,75,1170,48,2,5,28
Burger,Bacon & Cheese Crispy Chicken Sandwich,800,460,52,13,1,95,1650,55,2,8,30
Burger,BBQ Bacon Crispy Chicken Sandwich,790,440,49,10,0.5,80,1630,60,2,13,28
Burger,Crispy Chicken Jr.,450,270,30,5,0,30,780,34,2,5,12
Burger,Spicy Crispy Chicken Jr.,390,190,21,3.5,0,30,740,37,2,6,12
Burger,Chicken Nuggets- 4pc,170,100,11,1.5,0,25,310,11,1,0,8
Burger,Chicken Nuggets- 6pc,260,150,16,2.5,0,35,470,16,1,0,12
Burger,Chicken Nuggets- 10pc,430,240,27,4.5,0,55,780,27,2,0,20
Burger,Chicken Nuggets- 20pc,860,490,54,9,0,115,1570,53,3,1,39
Burger,Spicy Chicken Nuggets- 4pc,210,130,15,3,0,20,570,11,2,0,8
Salad and sides,Garden Chicken Salad with Crispy Chicken – no dressing,440,220,25,7,0,75,930,31,3,4,25
Salad and sides,Club Salad with Crispy Chicken – no dressing,540,300,33,10,0,95,1380,31,3,5,31
Salad and sides,Garden Side Salad – w/o dressing,60,35,4,2.5,0,10,95,3,1,2,4
Salad and sides,Ken’s Ranch Dressing,260,250,28,4,0,10,240,2,0,2,1
Salad and sides,Ken’s Golden Italian Dressing,160,150,17,2.5,0,0,380,4,0,3,0
Salad and sides,Ken’s Lite Honey Balsamic Vinaigrette,120,70,8,1,0,0,220,14,0,11,0
Salad and sides,Buttery Garlic Croutons- Packet,60,20,2.5,0,0,10,180,9,0,1,1
Salad and sides,Onion Rings – value,150,70,8,1.5,0,0,400,19,1,2,1
Salad and sides,Onion Rings – small,320,150,16,3,0,0,840,41,3,4,3
Salad and sides,Onion Rings – medium,410,190,21,3.5,0,0,1080,53,4,5,4
Salad and sides,Onion Rings – large,500,230,25,4.5,0,0,1310,64,5,7,5
Salad and sides,French Fries – value (unsalted),220,80,9,1.5,0,0,210,34,3,1,2
Salad and sides,French Fries – small,320,120,13,2,0,0,300,49,5,1,4
Salad and sides,French Fries – medium,380,140,16,2,0,0,360,58,6,1,4
Salad and sides,French Fries – large,430,160,18,2.5,0,0,410,66,7,2,5
Dessert,Dutch Apple Pie,340,130,14,6,0,0,310,51,1,25,3
Dessert,HERSHEY®’S Sundae Pie,310,170,19,12,0,10,220,32,1,22,3
Dessert,Pie made with TWIX®,370,180,20,13,0,10,330,45,1,30,4
Dessert,OREO® Cookie Cheesecake,350,170,18,8,0,35,310,41,1,25,6
Dessert,Soft Serve Cone,190,40,4.5,3,0,20,150,32,0,24,5
Dessert,Soft Serve Cup,170,40,4.5,3,0,20,150,28,0,24,5
Dessert,HERSHEY®’s Chocolate Sundae,260,45,5,3,0,20,160,49,1,43,5
Dessert,Caramel Sundae,240,50,5,3.5,0,20,210,42,0,33,5
Dessert,Chocolate Chip Cookies (each),160,70,8,4,0,10,125,24,1,15,2
Breakfast,CROISSAN’WICH® Egg & Cheese,340,170,18,8,0,160,610,29,1,4,12
Breakfast,"CROISSAN’WICH® Sausage, Egg & Cheese",500,300,33,13,0,195,930,30,1,4,19
Breakfast,"CROISSAN’WICH® Ham, Egg & Cheese",370,170,19,8,0,175,1030,30,1,5,17
Breakfast,"CROISSAN’WICH® Bacon, Egg & Cheese",370,190,21,9,0,170,760,30,1,4,14
Breakfast,Fully Loaded CROISSAN’WICH®,610,360,40,17,0.5,225,1680,31,1,5,28
Breakfast,Double CROISSAN’WICH® with Sausage & Bacon,580,340,40,16,0.5,215,1260,31,1,5,23
Breakfast,Double CROISSAN’WICH® with Sausage,710,470,52,20,0.5,240,1420,31,1,5,29
Breakfast,Double CROISSAN’WICH® with Ham & Sausage,580,340,38,16,0.5,220,1530,31,1,5,27
Breakfast,Fully Loaded Biscuit,640,400,45,20,0,225,2190,31,1,4,28
Breakfast,"Ham, Egg, & Cheese Biscuit",400,210,24,12,0,175,1550,29,1,3,17
Breakfast,"Sausage, Egg, & Cheese Biscuit",530,340,38,17,0,195,1440,29,1,3,19
Breakfast,"Bacon, Egg & Cheese Biscuit",400,230,26,13,0,170,1270,29,1,3,13
Breakfast,Sausage Biscuit,420,250,28,6,0,35,1050,28,1,2,12
Breakfast,Breakfast Burrito Jr.,370,210,23,8,0,150,930,27,3,2,15
Breakfast,EGG-NORMOUS BURRITOΡ,780,380,42,15,0,355,1960,68,3,4,32
Breakfast,BK™ Ultimate Breakfast Platter,930,390,44,11,0,390,2230,110,4,40,24
Breakfast,NY Ultimate Platter (Regional menu item),900,420,46,12,0,380,1760,95,5,31,25
Breakfast,Pancake and Sausage platter,610,280,31,9,0,80,1010,72,1,30,12
Breakfast,Hash Browns – small,250,150,16,3.5,0,0,580,24,3,0,2
Breakfast,Hash Browns – medium,500,290,33,7,0,0,1140,48,7,0,4
Breakfast,Hash Browns – large,670,390,44,9,0,0,1530,65,9,0,5
Breakfast,French Toast Sticks (3 piece),230,100,11,2,0,0,260,29,1,8,3
Breakfast,French Toast Sticks (5 piece),380,160,18,3,0,0,430,49,2,13,5
Breakfast,American Cheese (slice),40,30,3.5,2,0,10,180,1,0,0,2
Breakfast,Ketchup (Packet),10,0,0,0,0,0,125,3,0,2,0
Breakfast,Mayonnaise (Packet),80,80,9,0.5,0,10,75,1,0,0,0
Breakfast,Strawberry or Grape Jam (packet),30,0,0,0,0,0,0,7,0,6,0
Breakfast,Breakfast Syrup (1 oz),120,0,0,0,0,0,15,30,0,18,0
Breakfast,Barbecue Dipping Sauce (1 oz),40,0,0,0,0,0,310,11,0,10,0
Breakfast,Ranch Dipping Sauce (1 oz),140,140,15,2.5,0,10,85,1,0,1,1
Breakfast,Buffalo Dipping Sauce (1 oz),80,70,8,1.5,0,5,360,2,0,1,0
Breakfast,Zesty Onion Ring Dipping Sauce (1 oz),150,140,15,2.5,0,20,240,3,0,0,0
Breakfast,Honey Mustard Dipping Sauce (1oz),90,60,6,1,0,10,180,8,0,7,0
Beverages,Fat FREE Milk (8 fl oz),90,0,0,0,0,5,125,13,0,12,9
Beverages,1% Low Fat Chocolate Milk (8 fl oz),160,25,2.5,1.5,0,15,150,26,0,25,8
Beverages,Smoothie: Strawberry Banana 16 fl oz,310,10,1,0,0,0,55,71,3,50,4
Beverages,Oreo® Shake,720,180,20,12,0.5,65,540,118,1,98,16
Beverages,Chocolate Oreo® Shake,740,190,22,13,0.5,70,680,121,1,101,17
Beverages,Vanilla Milk Shake,580,140,15,10,0,60,420,98,0,85,14
Beverages,HERSHEY®’S Chocolate Milk Shake,610,140,16,10,0,60,500,103,1,88,14
Beverages,Strawberry Milk Shake,640,140,15,10,0,60,440,113,0,99,14
Beverages,Coca Cola classic® - 16 fl oz,210,0,0,0,0,0,50,58,0,58,0
Beverages,Coca Cola classic® - 20 fl oz,270,0,0,0,0,0,60,73,0,73,0
Beverages,Coca Cola classic® - 29 fl oz,290,0,0,0,0,0,85,105,0,105,0
Beverages,Coca Cola classic® - 38 fl oz,510,0,0,0,0,0,115,138,0,138,0
Beverages,Diet Coke® - 16 fl oz,0,0,0,0,0,0,70,0,0,0,0
Beverages,Diet Coke® - 20 fl oz,0,0,0,0,0,0,85,0,0,0,0
Beverages,Diet Coke® - 29 fl oz,0,0,0,0,0,0,120,0,0,0,0
Beverages,Diet Coke® - 38 fl oz,0,0,0,0,0,0,160,0,0,0,0
Beverages,Sprite® - 16 fl oz,210,0,0,0,0,0,95,56,0,56,0
Beverages,Sprite® - 20 fl oz,260,0,0,0,0,0,120,70,0,70,0
Beverages,Sprite® - 29 fl oz,380,0,0,0,0,0,170,102,0,102,0
Beverages,Sprite® - 38 fl oz,500,0,0,0,0,0,230,133,0,133,0
Beverages,Dr. Pepper® - 16 fl oz,190,0,0,0,0,0,60,52,0,51,0
Beverages,Dr. Pepper® - 20 fl oz,240,0,0,0,0,0,75,65,0,64,0
Beverages,Dr. Pepper® - 29 fl oz,350,0,0,0,0,0,105,94,0,93,0
Beverages,Dr. Pepper® - 38 fl oz,450,0,0,0,0,0,140,124,0,121,0
Beverages,Barq’s® Root Beer - 16 fl oz,240,0,0,0,0,0,100,65,0,65,0
Beverages,Barq’s® Root Beer - 20 fl oz,300,0,0,0,0,0,120,81,0,81,0
Beverages,Barq’s® Root Beer - 29 fl oz,350,0,0,0,0,0,180,118,0,118,0
Beverages,Barq’s® Root Beer - 38 fl oz,450,0,0,0,0,0,230,155,0,155,0
Beverages,Cherry Coke® - 16 fl oz,220,0,0,0,0,0,55,61,0,61,0
Beverages,Cherry Coke® - 20 fl oz,280,0,0,0,0,0,70,76,0,76,0
Beverages,Cherry Coke® - 29 fl oz,410,0,0,0,0,0,100,110,0,110,0
Beverages,Cherry Coke® - 38 fl oz,450,0,0,0,0,0,130,145,0,145,0
Beverages,Fanta® Orange - 16 fl oz,230,0,0,0,0,0,60,62,0,61,0
Beverages,Fanta® Orange - 20 fl oz,280,0,0,0,0,0,70,78,0,77,0
Beverages,Fanta® Orange - 29 fl oz,410,0,0,0,0,0,105,113,0,111,0
Beverages,Fanta® Orange - 38 fl oz,530,0,0,0,0,0,135,148,0,146,0
Beverages,Hi-C® Fruit Punch - 16 fl oz,220,0,0,0,0,0,75,62,0,60,0
Beverages,Hi-C® Fruit Punch - 20 fl oz,280,0,0,0,0,0,95,77,0,75,0
Beverages,Hi-C® Fruit Punch - 29 fl oz,410,0,0,0,0,0,135,111,0,109,0
Beverages,Hi-C® Fruit Punch - 38 fl oz,450,0,0,0,0,0,180,146,0,143,0
Beverages,MINUTE MAID® Light Lemonade - 16 fl oz,10,0,0,0,0,0,60,3,0,0,0
Beverages,MINUTE MAID® Light Lemonade - 20 fl oz,10,0,0,0,0,0,70,4,0,0,0
Beverages,MINUTE MAID® Light Lemonade - 29 fl oz,15,0,0,0,0,0,105,5,0,0,0
Beverages,MINUTE MAID® Light Lemonade - 38 fl oz,20,0,0,0,0,0,135,7,0,0,0
Beverages,Sweet Tea - 20 fl oz,120,0,0,0,0,0,0,35,0,35,0
Beverages,Sweet Tea - 29 fl oz,160,0,0,0,0,0,0,49,0,49,0
Beverages,Sweet Tea - 40 fl oz,240,0,0,0,0,0,0,71,0,71,0
Beverages,Capri Sun® 100% Apple Juice,80,0,0,0,0,0,25,20,0,20,0
Beverages,Minute Maid® Orange Juice,140,0,0,0,0,0,20,33,0,30,2
Beverages,Frozen Coke® – 16 oz,130,0,0,0,0,0,50,35,0,35,0
Beverages,BK® Café Coffee- 12 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,BK® Café Coffee- 16 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,BK® Café Coffee- 20 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,BK® Café Decaf Coffee- 12 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,BK® Café Decaf Coffee- 16 fl oz,0,0,0,0,0,0,0,0,0,0,0
Beverages,BK® Café Iced Vanilla Coffee- 12 fl oz,150,70,8,4,0,25,30,21,0,21,1
Beverages,BK® Café Iced Vanilla Coffee- 16 fl oz,200,90,10,5,0,30,40,27,0,27,2
Beverages,BK® Café Iced Vanilla Coffee- 20 fl oz,260,110,13,7,0,40,50,34,0,34,2
Beverages,BK® Café Iced Mocha Coffee- 12 fl oz,180,70,8,4,0,25,40,27,1,25,2
Beverages,BK® Café Iced Mocha Coffee- 16 fl oz,240,90,10,6,0,30,55,35,1,32,2
Beverages,BK® Café Iced Mocha Coffee- 20 fl oz,300,120,13,7,0,40,70,45,2,41,3
Beverages,BK® Café Mocha Frappe- 12 fl oz,300,80,8,5,0,30,200,50,1,41,7
Beverages,BK® Café Mocha Frappe- 16 fl oz,400,90,10,7,0,40,270,68,1,58,9
Beverages,BK® Café Mocha Frappe- 20 fl oz,510,110,13,8,0,50,350,87,1,71,12
Beverages,BK® Café Caramel Frappe- 12 fl oz,300,80,8,5,0,35,210,50,0,41,7
Beverages,BK® Café Caramel Frappe- 16 fl oz,400,90,10,7,0,40,280,68,0,56,9
Beverages,BK® Café Caramel Frappe- 20 fl oz,500,110,12,8,0,50,350,86,0,71,11