State,Population (July)
California,39512223.00
Texas,28995881.00
Florida,21477737.00
New York,19453561.00
Illinois,12671821.00
Pennsylvania,12801989.00
Ohio,11689100.00
Georgia,10617423.00
North Carolina,10488084.00
Michigan,9986857.00
New Jersey,8882190.00
Virginia,8535519.00
Washington,7614893.00
Arizona,7278717.00
Massachusetts,6949503.00
Tennessee,6833174.00
Indiana,6732219.00
Missouri,6137428.00
Maryland,6045680.00
Wisconsin,5822434.00
Colorado,5758736.00
Minnesota,5639632.00
South Carolina,5148714.00
Alabama,4903185.00
Louisiana,4648794.00
Kentucky,4467673.00
Oregon,4217737.00
Oklahoma,3956971.00
Connecticut,3565287.00
Utah,3205958.00
Iowa,3155070.00
Nevada,3080156.00
Arkansas,3017825.00
Mississippi,2976149.00
Kansas,2913314.00
New Mexico,2096829.00
Nebraska,1934408.00
West Virginia,1792147.00
Idaho,1787065.00
Hawaii,1415872.00
New Hampshire,1359711.00
Maine,1344212.00
Montana,1068778.00
Rhode Island,1059361.00
Delaware,973764.00
South Dakota,884659.00
North Dakota,762062.00
Alaska,731545.00
Vermont,623989.00
Wyoming,578759.00