Restaurant,Category,Items,Cost (USD),Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (g)
starbucks,Breakfast,"SB - Double-Smoked Bacon, Cheddar & Egg Sandwich",4.25,520,29,42,8,24,1.05
starbucks,Breakfast,SB - Ham & Cheese Croissant,3.45,320,17,28,5,14,0.49
starbucks,Breakfast,SB - Hearty Blueberry Oatmeal,3.99,220,2.5,43,13,5,0.125
starbucks,Breakfast,SB - Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,3.75,230,5,28,2,18,0.55
starbucks,Breakfast,"SB - Roasted Ham, Swiss & Egg Breakfast Sandwich",3.75,460,23,43,7,21,0.92
starbucks,Breakfast,"SB - Sausage, Cheddar & Egg Breakfast Sandwich",3.45,480,29,34,2,18,0.88
starbucks,Breakfast,SB - Strawberry Cake Pop,2.45,160,8,22,16,4,0.08
starbucks,Dessert,SB - Banana Nut Bread,2.29,420,22,52,30,6,0.32
starbucks,Dessert,SB - Berry Trio Parfait,3.45,240,2.5,39,26,14,0.125
starbucks,Dessert,SB - Birthday Cake Slice,3.5,170,9,23,18,1,0.11
starbucks,Dessert,SB - Blueberry Muffin,3.19,360,15,52,33,5,0.27
starbucks,Dessert,SB - Blueberry Oat Cake,2.45,390,12,71,33,7,0.43
starbucks,Dessert,SB - Blueberry Scone,2.45,380,17,54,22,6,0.35
starbucks,Dessert,SB - Chocolate Cake Slice,3.5,160,8,23,18,2,0.08
starbucks,Dessert,SB - Chocolate Chip Cookie,1.95,360,18,47,31,6,0.22
starbucks,Dessert,SB - Chocolate Croissant,3.25,340,20,38,13,5,0.28
starbucks,Dessert,SB - Cinnamon Raisin Bagel,3,270,1,58,11,9,0.37
starbucks,Dessert,SB - Classic Coffee Cake,3.5,330,15,43,21,4,0.27
starbucks,Dessert,SB - Confetti Sugar Cookie,1.95,410,21,54,36,4,0.22
starbucks,Dessert,SB - Double Chocolate Chunk Brownie,2.35,480,28,55,37,6,0.22
starbucks,Dessert,SB - Fresh Blueberries and Honey Greek Yogurt Parfait,3.45,240,2.5,42,29,14,0.1
starbucks,Dessert,SB - Gluten-Free Marshmallow Dream Bar,3,230,5,44,24,1,0.22
starbucks,Dessert,SB - Iced Lemon Loaf Cake,2.45,470,20,68,42,6,0.31
starbucks,Dessert,SB - Justin's Chocolate Hazelnut Butter,2.75,180,14,12,7,4,0.065
starbucks,Dessert,SB - Justin's Classic Almond Butter,2.75,190,18,6,1,7,0
starbucks,Dessert,SB - Lemon Crunch Yogurt Parfait,3.45,330,12,42,29,14,0.09
starbucks,Dessert,SB - Mango & Coconut Yogurt Bowl,3.45,250,6,34,26,16,0.06
starbucks,Dessert,SB - Old-Fashioned Glazed Doughnut,1.95,480,27,56,30,5,0.41
starbucks,Dessert,SB - Petite Vanilla Bean Scone,2.25,120,4.5,18,8,2,0.095
starbucks,Dessert,SB - Pumpkin Bread,2.45,410,15,63,39,6,0.5
starbucks,Drink,SB - Blonde Roast,2.1,5,0,0,0,1,0.01
starbucks,Drink,SB - Caffè Vanilla Frappuccino® Blended Coffee,4.45,310,2,69,68,4,0.23
starbucks,Drink,SB - Caramel Frappuccino® Blended Coffee,4.45,270,2,60,60,4,0.23
starbucks,Drink,SB - Chai Crème Frappuccino® Blended Crème,4.25,230,2.5,49,48,4,0.22
starbucks,Drink,SB - Chai Tea Latte,3.25,240,3.5,47,43,6,0.09
starbucks,Drink,SB - Cinnamon Dolce Crème,4.25,280,7,42,40,12,0.17
starbucks,Drink,SB - Citrus Defender,3.25,160,0,39,35,0,0.02
starbucks,Drink,SB - Coffee Frappuccino® Blended Coffee,3.95,230,2,50,50,3,0.22
starbucks,Drink,SB - Comfort Wellness Brewed Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Defense Wellness Brewed Tea,3.25,10,0,3,2,0,0.005
starbucks,Drink,SB - Double Chocolaty Chip Crème Frappuccino® Blended Crème,5.49,290,7,53,49,6,0.26
starbucks,Drink,SB - Emperor's Cloud and Mist® Green Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Espresso Frappuccino® Blended Coffee,4.45,220,1.5,50,48,3,0.21
starbucks,Drink,SB - Featured Dark Roast,2.1,5,0,0,0,1,0.01
starbucks,Drink,SB - Honey Citrus Mint Tea,3.25,140,0,36,33,0,0
starbucks,Drink,SB - Hot Chocolate,3.25,320,9,47,41,14,0.16
starbucks,Drink,SB - Iced Blueberry Black Tea,3.25,100,0,24,21,0,0.015
starbucks,Drink,SB - Iced Blueberry Black Tea Lemonade,3.25,120,0,30,27,0,0.015
starbucks,Drink,SB - Iced Chai Tea Latte,3.25,240,4,44,42,7,0.11
starbucks,Drink,SB - Iced Coffee,2.65,80,0,20,20,0,0.01
starbucks,Drink,SB - Iced Coffee with Milk,2.65,110,1.5,23,23,2,0.04
starbucks,Drink,SB - Iced Guava White Tea,3.25,110,0,27,23,0,0.02
starbucks,Drink,SB - Iced Guava White Tea Lemonade,3.25,130,0,33,29,0,0.02
starbucks,Drink,SB - Iced Matcha Green Tea Latte,3.25,200,4,33,29,8,0.1
starbucks,Drink,SB - Iced Peach Green Tea,3.25,100,0,25,23,0,0.02
starbucks,Drink,SB - Iced Peach Green Tea Lemonade,3.25,130,0,31,29,0,0.02
starbucks,Drink,SB - Iced Starbucks® Blonde Caffè Latte,4.55,130,4.5,13,11,8,0.115
starbucks,Drink,SB - Iced Starbucks® Blonde Caramel Cloud Macchiato,4.45,170,4,28,24,5,0.115
starbucks,Drink,SB - Iced Starbucks® Blonde Cocoa Cloud Macchiato,4.45,180,4.5,30,25,6,0.14
starbucks,Drink,SB - Iced Starbucks® Blonde Flat White,4.55,130,4.5,13,11,8,0.12
starbucks,Drink,SB - Iced Starbucks® Blonde Vanilla Latte,4.55,180,4.5,27,25,8,0.11
starbucks,Drink,SB - Iced Teavana® London Fog Tea Latte,3.25,140,2.5,25,25,4,0.07
starbucks,Drink,SB - Iced Vanilla Bean Coconutmilk Latte,4.55,180,5,26,25,9,0.125
starbucks,Drink,SB - Iced White Chocolate Mocha,4.45,300,8,47,46,10,0.19
starbucks,Drink,SB - Jade Citrus Mint Green Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Jade Citrus Mint™ Brewed Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Java Chip Frappuccino® Blended Coffee,4.45,340,6,68,63,5,0.26
starbucks,Drink,SB - Latte Macchiato,4.45,190,7,19,17,12,0.16
starbucks,Drink,SB - Matcha Green Tea Crème Frappuccino® Blended Crème,4.45,300,3,64,63,5,0.23
starbucks,Drink,SB - Matcha Green Tea Latte,3.25,240,7,34,32,12,0.16
starbucks,Drink,SB - Matcha Lemonade,3.25,120,0,29,27,1,0.01
starbucks,Drink,SB - Mint Majesty™ Herbal Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Mocha Frappuccino® Blended Coffee,4.45,290,3,61,58,4,0.23
starbucks,Drink,SB - Peach Tranquility® Herbal Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Pike Place® Roast,2.1,5,0,0,0,1,0.01
starbucks,Drink,SB - Pumpkin Cream Cold Brew,3.25,250,12,31,31,3,0.055
starbucks,Drink,SB - Pumpkin Spice Crème,4.45,320,7,51,50,15,0.25
starbucks,Drink,SB - Pumpkin Spice Frappuccino® Blended Beverage,4.95,320,2,71,70,5,0.28
starbucks,Drink,SB - Pumpkin Spice Frappuccino® Blended Crème,4.95,250,2.5,50,50,6,0.26
starbucks,Drink,SB - Pumpkin Spice Latte,4.95,310,7,50,48,14,0.23
starbucks,Drink,SB - Rev Up Wellness Brewed Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Royal English Breakfast Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Royal English Breakfast Tea Latte,3.25,150,4,21,21,7,0.105
starbucks,Drink,SB - Salted Caramel Hot Chocolate,4.45,390,9,66,59,13,0.3
starbucks,Drink,SB - Salted Caramel Mocha,4.95,360,8,61,53,12,0.28
starbucks,Drink,SB - Salted Caramel Mocha Frappuccino® Blended Beverage,4.95,300,2.5,65,62,4,0.27
starbucks,Drink,SB - Skinny Mocha,4.65,170,1.5,24,15,14,0.15
starbucks,Drink,SB - Starbucks Doubleshot® on Ice Beverage,4.95,100,1,20,18,3,0.04
starbucks,Drink,SB - Starbucks® Blonde Caffè Latte,4.75,190,7,19,18,13,0.17
starbucks,Drink,SB - Starbucks® Blonde Caramel Cloud Macchiato,4.95,270,7,39,34,11,0.2
starbucks,Drink,SB - Starbucks® Blonde Cocoa Cloud Macchiato,4.95,280,8,41,36,12,0.24
starbucks,Drink,SB - Starbucks® Blonde Doubleshot® On Ice,4.95,80,1,15,13,3,0.04
starbucks,Drink,SB - Starbucks® Blonde Flat White,4.95,180,7,18,17,12,0.16
starbucks,Drink,SB - Starbucks® Blonde Iced Pumpkin Spice Latte,4.95,220,4.5,37,35,10,0.17
starbucks,Drink,SB - Starbucks® Blonde Iced Salted Caramel Mocha,4.95,260,5,44,38,8,0.19
starbucks,Drink,SB - Starbucks® Blonde Pumpkin Spice Latte,4.95,280,7,42,40,13,0.21
starbucks,Drink,SB - Starbucks® Blonde Salted Caramel Mocha,4.95,320,8,50,43,12,0.24
starbucks,Drink,SB - Starbucks® Blonde Vanilla Bean Coconutmilk Latte,4.95,190,6,23,21,11,0.15
starbucks,Drink,SB - Starbucks® Blonde Vanilla Latte,4.95,240,7,33,31,12,0.16
starbucks,Drink,SB - Starbucks® Cold Brew Coffee,3.25,5,0,0,0,0,0.015
starbucks,Drink,SB - Starbucks® Cold Brew Coffee with Milk,3.25,35,1.5,3,3,2,0.04
starbucks,Drink,SB - Strawberry Frappuccino® Blended Crème,4.95,270,2.5,55,54,4,0.24
starbucks,Drink,SB - Teavana® Chai Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Teavana® Earl Grey Brewed Tea,3.25,0,0,0,0,0,0
starbucks,Drink,SB - Teavana® London Fog Tea Latte,3.25,180,4,29,29,7,0.105
starbucks,Drink,SB - Teavana® Shaken Iced Black Tea,3.25,45,0,11,11,0,0.01
starbucks,Drink,SB - Teavana® Shaken Iced Black Tea Lemonade,3.25,90,0,23,22,0,0.01
starbucks,Drink,SB - Teavana® Shaken Iced Green Tea,3.25,45,0,11,11,0,0.01
starbucks,Drink,SB - Teavana® Shaken Iced Green Tea Lemonade,3.25,90,0,23,22,0,0.01
starbucks,Drink,SB - Teavana® Shaken Iced Passion Tango™ Tea,3.25,45,0,11,11,0,0.01
starbucks,Drink,SB - Teavana® Shaken Iced Passion Tango™ Tea Lemonade,3.25,90,0,23,22,0,0.01
starbucks,Drink,SB - Teavana® Shaken Iced White Tea,3.25,45,0,11,11,0,0.01
starbucks,Drink,SB - Teavana® Shaken Iced White Tea Lemonade,3.25,90,0,23,22,0,0.01
starbucks,Drink,SB - Vanilla Bean Coconutmilk Latte,4.95,220,6,30,28,11,0.15
starbucks,Drink,SB - Vanilla Bean Crème Frappuccino® Blended Crème,3.95,270,3,56,56,5,0.24
starbucks,Drink,SB - Vanilla Crème,3.95,270,7,37,37,12,0.18
starbucks,Drink,SB - Vanilla Sweet Cream Cold Brew,3.25,110,5,14,14,1,0.02
starbucks,Drink,SB - White Chocolate Mocha,4.45,360,11,53,51,14,0.24
starbucks,Drink,SB - White Chocolate Mocha Frappuccino® Blended Coffee,3.95,290,3.5,61,61,4,0.24
starbucks,Salad,SB - Cage-Free Eggs & Seasoned Grains Side Salad,8.95,360,18,33,4,17,0.46
starbucks,Salad,SB - Cauliflower Tabbouleh Side Salad,8.95,130,12,7,3,2,0.52
starbucks,Salad,SB - Chicken & Fig Spread,8.95,460,13,61,15,24,0.94
starbucks,Salad,SB - Chicken BLT Protein Box,5.75,580,23,58,20,35,1.66
starbucks,Salad,SB - Chicken Wrap Protein Box,5.25,690,31,77,0,30,1
starbucks,Salad,SB - Eggs & Cheese Protein Box,5.25,470,25,40,21,23,0.54
starbucks,Salad,SB - Farmers' Market Protein Box,5.25,470,29,29,12,21,0.88
starbucks,Salad,SB - Garden Greens & Shaved Parmesan Side Salad,4.95,170,13,9,4,7,0.6
starbucks,Salad,SB - Grilled Chicken & Cauliflower Tabbouleh,5.95,390,27,15,7,21,1.14
starbucks,Salad,SB - Honey BBQ Sriracha Chicken,5.25,370,8,54,9,22,1.09
starbucks,Salad,SB - PB&J Protein Box,5.25,520,26,54,30,20,0.57
starbucks,Salad,SB - Roasted Carrot & Kale Side Salad,4.95,440,26,44,6,10,0.4
starbucks,Salad,SB - Roasted Turkey & Dill Havarti,7.45,580,31,46,4,32,0.86
starbucks,Salad,SB - Seasoned Turkey & Green Pepper Pico,7.99,390,18,30,8,28,0.9
starbucks,Salad,SB - Smoked Mozzarella & Roasted Peppers,6.99,540,28,53,8,19,1.19
starbucks,Salad,SB - Smoked Pork Cubano,6.95,450,25,66,3,21,1.2
starbucks,Salad,SB - Smoked Turkey Protein Box,5.75,570,23,54,20,35,1.62
starbucks,Salad,SB - Turkey Pastrami Reuben,5.75,500,21,50,3,26,1.13
starbucks,Sandwich,SB - Chicken & Double-Smoked Bacon,5.95,620,26,65,11,31,1.46
starbucks,Sandwich,SB - Chicken Caprese,5.95,500,18,58,3,28,0.9
starbucks,Sandwich,SB - Chipotle Chicken Wrap,5.95,470,19,55,6,22,1.05
starbucks,Sandwich,SB - Crispy Grilled Cheese Sandwich,5.95,540,29,47,1,21,1.06
starbucks,Sandwich,SB - Everybody's Favorite - Bantam Bagel (2 Pack),2.95,200,8,28,2,6,0.28
starbucks,Sandwich,SB - Everything Bagel,2.25,290,4,53,5,11,0.45
starbucks,Sandwich,SB - French Toast - Bantam Bagels (2 Pack),3.75,200,8,30,4,6,0.36
starbucks,Sandwich,SB - Ham & Swiss Panini,5.95,490,24,42,2,25,1.25
starbucks,Sandwich,SB - Plain Bagel,1.99,280,1.5,56,2,9,0.62
starbucks,Sandwich,SB - Sprouted Grain Vegan Bagel,2.45,330,6,57,4,12,0.49
starbucks,Sandwich,SB - Tomato & Mozzarella,4.99,350,13,42,2,15,0.58
starbucks,Sandwich,SB - Turkey Pesto Panini,6.45,540,21,55,3,33,1.19
subway,Breakfast,"SW - Bacon, Egg & Cheese",4.29,450,20,45,4,24,1.2
subway,Breakfast,"SW - Black Forest Ham, Egg & Cheese",4.29,410,16,45,4,24,1.18
subway,Breakfast,SW - Egg & Cheese,3.99,380,15,44,3,19,0.95
subway,Breakfast,"SW - Steak, Egg & Cheese",4.29,440,18,46,4,27,1.27
subway,Dessert,SW - Caramel Apple Cookie,0.6,210,6,37,26,2,0.065
subway,Dessert,SW - Chocolate Chip Cookie,0.6,210,10,29,18,2,0.12
subway,Dessert,SW - Chocolate Chip with M&M,0.6,210,10,30,18,2,0.1
subway,Dessert,SW - Chocolate Chunk Cookie,0.6,210,10,30,17,2,0.1
subway,Dessert,SW - Dark Chocolate Cherry Cookie,0.6,200,8,33,24,2,0.1
subway,Dessert,SW - Double Chocolate,0.6,210,9,30,20,2,0.13
subway,Dessert,SW - Oatmeal Raisin Cookie - SW,0.6,200,8,30,16,3,0.13
subway,Dessert,SW - Raspberry Cheesecake Cookie,0.6,200,9,29,16,2,0.12
subway,Dessert,SW - Raspberry Lemonade Cookie,0.6,230,11,31,20,2,0.1
subway,Dessert,SW - Sugar Cookie,0.6,230,12,28,14,2,0.13
subway,Dessert,SW - White Chip Macadamia Nut Cookie,0.6,220,11,28,17,2,0.13
subway,Salad,SW - Black Forest Ham Salad,7.99,120,3,12,6,13,0.55
subway,Salad,SW - Chicken & Bacon Ranch,8.78,460,33,13,7,32,1
subway,Salad,SW - Cold Cut Combo Salad,6.49,180,11,12,5,12,0.83
subway,Salad,SW - Meatball Marinara Salad,6.48,290,16,22,9,15,0.78
subway,Salad,SW - Roast Beef Salad,8.78,140,3.5,10,5,19,0.46
subway,Salad,SW - Rotisserie-Style Chicken Salad,7.78,170,5,10,5,23,0.36
subway,Salad,SW - Steak & Cheese Salad,8.78,200,9,13,7,19,0.83
subway,Salad,SW - Steak Club Salad,7.99,480,26,21,9,44,2.05
subway,Salad,SW - Subway Club® Salad,8.78,140,3,11,5,19,0.61
subway,Salad,SW - Sweet Onion Chicken Teriyaki Salad,7.78,210,3,30,21,19,0.62
subway,Salad,SW - Tuna Salad,7.78,310,24,10,5,15,0.37
subway,Salad,SW - Turkey Breast Salad,7.78,110,2,11,5,14,0.52
subway,Salad,SW - Veggie Delite® Salad,5.98,50,1,9,5,3,0.075
subway,Sandwich,SW - Black Forest Ham Sandwich,4.99,260,4,42,8,18,0.72
subway,Sandwich,SW - Chicken & Bacon Ranch Melt,6.29,530,26,41,6,36,1.1
subway,Sandwich,SW - Classic Tuna,5.29,450,25,38,5,19,0.61
subway,Sandwich,SW - Cold Cut Combo Sandwich,3.99,320,12,40,5,16,1.06
subway,Sandwich,SW - Ham & Jack Slider,1.89,150,4.5,18,1,8,0.47
subway,Sandwich,SW - Italian Spice Slider,1.89,230,14,18,2,8,0.69
subway,Sandwich,SW - Little Cheesesteak Slider,2.39,170,7,19,2,7,0.43
subway,Sandwich,SW - Meatball Marinara Sandwich,4.99,420,18,47,7,19,1.04
subway,Sandwich,SW - Roast Beef Sandwich,6.29,280,4.5,40,7,25,0.63
subway,Sandwich,SW - Rotisserie-Style Chicken Sandwich,5.29,310,6,40,7,28,0.52
subway,Sandwich,SW - Spicy Italian Sandwich,5.99,450,24,40,5,18,1.24
subway,Sandwich,SW - Steak Club Sandwich,7.29,490,25,40,6,27,1.33
subway,Sandwich,SW - Subway Club® Sandwich,6.29,280,4,41,7,25,0.78
subway,Sandwich,SW - Sweet Onion Chicken Teriyaki Sandwich,5.29,320,4,52,16,25,0.72
subway,Sandwich,SW - Turkey & Bacon Guacamole Sandwich,8.29,780,27,87,11,49,2.2
subway,Sandwich,SW - Turkey Breast Sandwich,5.29,250,3,41,6,20,0.69
subway,Sandwich,SW - Ultimate Steak Sandwich,7.49,600,35,42,6,31,1.33
subway,Sandwich,SW - Veggie Delite® Sandwich,3.49,190,2,39,6,9,0.24